[2026-01-14 10:38:57] PDF OCR失败: D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\20251226160728.pdf | Unable to get page count. Is poppler installed and in PATH?
[2026-01-14 10:38:57] PDF OCR失败: D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\miningvisuals.com-Copper Production  Population Growth.pdf | Unable to get page count. Is poppler installed and in PATH?
[2026-01-14 10:39:00] CAJ提取失败: D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\_天气预测及其衍生品定价研究——基于气温日度数据的实证分析.caj | Unable to get page count. Is poppler installed and in PATH?
[2026-01-14 10:39:01] PDF OCR失败: D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\《技术服务合同》解除协议.pdf | Unable to get page count. Is poppler installed and in PATH?
[2026-01-14 10:39:02] DOCX失败: D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\在金融气象服务工作推进会上的发言稿 (1).wps | Package not found at 'D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\在金融气象服务工作推进会上的发言稿 (1).wps'
[2026-01-14 10:39:02] DOCX失败: D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\在金融气象服务工作推进会上的发言稿.wps | Package not found at 'D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\在金融气象服务工作推进会上的发言稿.wps'
[2026-01-14 10:39:02] DOCX失败: D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\天气汇报材料.doc | Package not found at 'D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\天气汇报材料.doc'
[2026-01-14 10:39:02] DOCX失败: D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\郑州市市场监督管理局信息公开申请表.doc | Package not found at 'D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\郑州市市场监督管理局信息公开申请表.doc'
[2026-01-14 10:39:02] DOCX失败: D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\附件1：大连品交易所线型低密度聚乙烯月均价期货合约和大连商品交易所线型低密度聚乙烯月均价期货业务细则 (1).doc | Package not found at 'D:\BaiduSyncdisk\2025\研究\合约设计\database\excel\附件1：大连品交易所线型低密度聚乙烯月均价期货合约和大连商品交易所线型低密度聚乙烯月均价期货业务细则 (1).doc'
[2026-01-14 10:39:03] DOCX失败: D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250728__未识别标题_.doc | Package not found at 'D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250728__未识别标题_.doc'
[2026-01-14 10:39:03] DOCX失败: D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250801__未识别标题_.doc | Package not found at 'D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250801__未识别标题_.doc'
[2026-01-14 10:39:03] DOCX失败: D:\BaiduSyncdisk\2025\研究\合约设计\其他\20251029__未识别标题_(1).wps | Package not found at 'D:\BaiduSyncdisk\2025\研究\合约设计\其他\20251029__未识别标题_(1).wps'
